r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,median,mm
1,1,1,1,1,1,1,1,1,1,1,-50
7,7,7,7,7,7,7,7,7,7,7,-48
44,44,44,44,44,44,44,44,44,44,44,-46
86,83,83,82,82,82,83,82,83,83,83,-44
120,120,119,121,120,120,120,106,120,120,120,-42
154,154,154,154,153,154,153,154,154,154,154,-40
186,186,186,186,186,185,186,186,186,186,186,-38
213,212,212,212,214,214,214,214,212,212,212.5,-36
236,237,235,235,236,232,235,234,235,231,235,-34
267,267,267,267,267,267,267,267,267,267,267,-32
297,296,296,296,296,294,294,294,294,295,295.5,-30
325,325,325,325,325,326,325,326,325,325,325,-28
348,348,348,352,353,353,350,351,351,351,351,-26
375,375,375,375,375,375,375,375,375,375,375,-24
397,397,398,397,397,398,397,397,397,397,397,-22
420,419,420,421,421,421,421,420,421,421,421,-20
444,444,444,444,444,444,444,444,444,443,444,-18
464,464,464,464,464,464,464,464,464,464,464,-16
486,486,483,483,483,482,483,483,484,484,483,-14
504,504,504,504,503,503,503,503,504,504,504,-12
524,523,523,523,524,524,524,524,524,524,524,-10
541,541,541,541,541,541,541,541,541,541,541,-8
558,559,559,558,558,558,558,558,559,558,558,-6
578,578,578,578,578,578,578,578,579,578,578,-4
595,595,594,594,595,594,594,595,594,594,594,-2
615,614,614,615,614,615,615,615,616,615,615,0
632,631,632,631,632,632,631,631,632,632,632,2
648,648,647,648,648,648,648,648,647,648,648,4
665,666,665,665,665,666,665,665,665,665,665,6
681,681,682,681,681,682,681,681,681,681,681,8
697,697,697,697,696,697,697,697,697,697,697,10
713,713,712,712,712,712,712,712,712,712,712,12
727,726,726,726,728,727,726,726,727,726,726,14
743,743,743,743,743,743,743,743,744,743,743,16
758,757,758,757,757,757,758,758,758,758,758,18
773,775,772,772,772,772,772,772,772,773,772,20
786,785,786,785,786,785,784,781,783,785,785,22
803,803,803,803,802,803,802,802,802,802,802.5,24
816,816,817,817,817,817,817,816,817,817,817,26
830,832,833,835,835,834,835,834,834,834,834,28
847,847,847,846,847,847,847,847,847,847,847,30
866,865,866,865,865,866,866,865,866,866,866,32
883,882,882,882,882,884,883,883,883,883,883,34
900,900,902,904,899,900,900,900,900,900,900,36
916,916,916,916,918,916,916,916,916,916,916,38
937,936,937,937,936,937,936,936,936,936,936,40
958,958,957,957,957,958,957,957,957,957,957,42
976,977,977,976,977,976,977,978,977,978,977,44
999,1000,999,999,999,999,1000,1000,999,999,999,46
1023,1023,1023,1023,1023,1023,1022,1023,1023,1023,1023,48
