r1,r2,r3,r4,r5,median,mm
1,1,1,1,1,1,-48
29,29,29,29,24,29,-46
56,56,56,56,56,56,-44
96,96,96,96,96,96,-42
142,142,142,142,142,142,-40
176,176,176,176,176,176,-38
207,207,207,207,207,207,-36
235,235,235,235,234,235,-34
256,256,256,257,256,256,-32
284,284,284,284,283,284,-30
320,320,320,320,321,320,-28
345,345,345,345,345,345,-26
376,376,376,376,376,376,-24
399,399,399,399,400,399,-22
420,420,420,420,420,420,-20
440,440,439,439,440,440,-18
467,467,467,467,467,467,-16
489,489,489,489,490,489,-14
509,509,509,509,509,509,-12
526,526,526,526,526,526,-10
543,543,543,543,543,543,-8
559,559,559,559,560,559,-6
580,581,580,580,580,580,-4
597,596,597,596,596,596,-2
609,609,609,609,609,609,0
624,624,624,624,623,624,2
644,644,644,644,644,644,4
659,658,659,658,659,659,6
680,680,680,680,680,680,8
697,698,697,697,697,697,10
714,714,714,714,714,714,12
737,737,737,737,737,737,14
756,756,755,756,755,756,16
771,771,771,772,771,771,18
789,789,790,789,789,789,20
808,808,808,808,808,808,22
823,823,823,822,823,823,24
844,843,843,844,844,844,26
857,857,857,857,857,857,28
875,875,874,874,875,875,30
890,890,890,890,890,890,32
909,909,910,909,909,909,34
927,927,927,927,927,927,36
946,946,946,946,946,946,38
967,967,967,967,967,967,40
994,994,995,994,994,994,42
1007,1007,1007,1007,1007,1007,44
1023,1023,1023,1023,1023,1023,46
