red1,red2,red3,red4,red5,red6,red7,red8,red9,red10
176,175,177,178,176,174,173,177,175,175
185,182,184,182,182,182,180,181,182,181
198,197,194,197,196,196,198,198,198,198
228,229,229,227,228,228,228,226,229,228
260,259,260,261,260,259,258,258,258,257
291,289,290,289,288,287,288,289,289,289
315,314,314,313,310,315,315,314,312,315
336,336,336,334,337,335,335,335,335,335
361,361,360,361,361,359,360,359,361,360
383,383,384,384,384,384,386,380,381,382
403,401,403,402,403,403,404,404,403,403
422,422,422,421,422,423,422,423,423,423
443,442,444,444,442,442,443,443,444,442
461,461,462,462,462,462,462,462,461,461
480,481,480,478,479,480,480,480,481,481
501,501,500,500,500,500,500,501,499,499
520,520,519,518,520,520,520,518,519,520
538,536,540,540,541,540,541,539,540,540
555,556,555,555,555,556,556,556,554,555
570,570,569,569,570,570,570,570,569,569
587,587,586,586,586,586,587,586,585,586
602,602,603,603,604,603,603,603,603,604
619,620,619,618,619,618,619,619,619,618
632,631,631,631,631,631,631,632,631,632
646,647,642,647,647,647,647,647,644,647
661,660,661,660,660,662,661,661,661,661
676,676,676,677,677,676,676,677,677,676
697,697,696,696,696,696,696,695,695,696
709,709,710,709,709,709,708,709,709,709
724,724,723,723,723,724,723,723,724,723
737,737,737,737,737,737,737,738,737,737
750,751,751,750,750,751,751,751,750,750
765,766,765,765,765,765,765,765,765,765
779,780,780,779,779,778,779,779,779,779
792,792,792,791,792,791,791,791,792,792
806,806,805,806,806,806,806,806,806,806
821,820,820,821,821,821,821,820,821,821
834,833,833,833,835,833,833,833,833,833
843,843,843,843,843,843,843,843,843,843
855,855,855,855,855,855,855,854,855,855
872,871,872,871,871,871,871,871,871,871
886,887,887,887,887,887,888,887,887,887
899,900,900,903,903,903,903,903,903,903
919,919,919,919,915,919,919,919,919,919
933,933,933,933,933,933,933,933,933,933
946,946,946,946,947,946,947,947,946,946
947,946,947,946,946,946,946,946,946,946
